Rank,Gene.Symbol,ML_Impact_Score,Actual_logFC,Regulation Status
1,CYP2B7P,1.4908,0.344,Upregulated (Cancer Driver)
2,SFRP1,1.31888,-1.042,Downregulated (Tumor Suppressor)
3,ROPN1B,1.2944,-0.464,Downregulated (Tumor Suppressor)
4,ROPN1,1.2944,-0.464,Downregulated (Tumor Suppressor)
5,GABRP,1.28064,-0.842,Downregulated (Tumor Suppressor)
6,PDZK1P1,1.2474,-0.326,Downregulated (Tumor Suppressor)
7,PDZK1,1.2474,-0.326,Downregulated (Tumor Suppressor)
8,SLC6A14,1.2038,-0.912,Downregulated (Tumor Suppressor)
9,BBOX1,1.20088,-0.858,Downregulated (Tumor Suppressor)
10,CYP2B6,1.191361143,0.044,Upregulated (Cancer Driver)
11,PI15,1.17872,-1.072,Downregulated (Tumor Suppressor)
12,PTN,1.1782,-0.926,Downregulated (Tumor Suppressor)
13,RARRES1,1.16996,-0.73,Downregulated (Tumor Suppressor)
14,NTRK2,1.16588,-0.892,Downregulated (Tumor Suppressor)
15,ID4,1.14652,-0.976,Downregulated (Tumor Suppressor)
16,KRT14,1.14248,-0.96,Downregulated (Tumor Suppressor)
17,SCUBE2,1.1352,-0.178,Downregulated (Tumor Suppressor)
18,RRM2,1.1322,0.908,Upregulated (Cancer Driver)
19,CPB1,1.12784,-0.292,Downregulated (Tumor Suppressor)
20,AK5,1.10464,-0.8,Downregulated (Tumor Suppressor)
21,ESR1,1.09876,-0.164,Downregulated (Tumor Suppressor)
22,PROM1,1.09424,-0.632,Downregulated (Tumor Suppressor)
23,MMP7,1.0894,-0.696,Downregulated (Tumor Suppressor)
24,GFRA1,1.0879,-0.2,Downregulated (Tumor Suppressor)
25,ASPN,1.08172,0.73,Upregulated (Cancer Driver)
26,CITED1,1.07768,-0.454,Downregulated (Tumor Suppressor)
27,SOSTDC1,1.0736,-0.718,Downregulated (Tumor Suppressor)
28,MELK,1.06964,0.734,Upregulated (Cancer Driver)
29,NAT1,1.06336,0.092,Upregulated (Cancer Driver)
30,MMP1,1.05984,0.32,Upregulated (Cancer Driver)
31,FOSB,1.057952,-0.796,Downregulated (Tumor Suppressor)
32,BCL11A,1.05376,-0.58,Downregulated (Tumor Suppressor)
33,ST8SIA1,1.04648,-0.818,Downregulated (Tumor Suppressor)
34,STC2,1.03976,-0.374,Downregulated (Tumor Suppressor)
35,KIF4A,1.03224,0.686,Upregulated (Cancer Driver)
36,TOP2A,1.02804,0.924,Upregulated (Cancer Driver)
37,KRT6B,1.01312,-0.994,Downregulated (Tumor Suppressor)
38,SCGB1D2,1.01264,-0.798,Downregulated (Tumor Suppressor)
39,RET,1.00944,0.514,Upregulated (Cancer Driver)
40,ASPM,1.0018,0.828,Upregulated (Cancer Driver)
41,ACTA2,0.99996,-1.032,Downregulated (Tumor Suppressor)
42,CXCL11,0.99824,0.41,Upregulated (Cancer Driver)
43,FN1,0.98764,0.834,Upregulated (Cancer Driver)
44,NCAPG,0.98524,0.65,Upregulated (Cancer Driver)
45,TPX2,0.98188,0.77,Upregulated (Cancer Driver)
46,NEK2,0.9814,0.84,Upregulated (Cancer Driver)
47,PGR,0.981348,-0.194,Downregulated (Tumor Suppressor)
48,FABP7,0.9702,-0.694,Downregulated (Tumor Suppressor)
49,LRP2,0.9698,-0.342,Downregulated (Tumor Suppressor)
50,MPPED2,0.968335238,-0.572,Downregulated (Tumor Suppressor)
